priority,category,asset,path_or_folder,runtime_size,frames,status,notes
P0,enemy,Lantern Tosser,res://assets/sprites/enemy_types/lantern_tosser/,96x80,8,REPLACE,"orange lantern; ranged; highly desirable raised follower"
P0,artifact,Grave Lantern,res://assets/vania11/grave_lantern_chunky.png,40x56 or replacement-compatible,1,REPLACE,"physical purple lantern; no geometric reticle as artifact"
P0,environment,Platform trim,res://assets/vania11/platform_trim.png,64x18 compatible,1,REPLACE,"obvious standable top edge"
P0,environment,Deck trim,res://assets/vania11/deck_trim.png,64x24 compatible,1,REPLACE,"readable primary floor lip"
P0,UI,Map parchment,res://assets/vania10/map_parchment.png,600x330,1,REPLACE,"storybook ship-log map"
P0,UI,Map connector set,res://assets/vania12/map_connectors/,agent-defined,set,NEW,"horizontal vertical corner door; replace draw_line routes"
P1,enemy,Grave Guard,res://assets/sprites/enemy_types/grave_guard/,96x80,8,REPLACE,"shield silhouette; cemetery uniform"
P1,enemy,Bilge Crawler,res://assets/sprites/enemy_types/bilge_crawler/,96x80,8,REPLACE,"low crawling silhouette"
P1,enemy,Hook Brute,res://assets/sprites/enemy_types/hook_brute/,96x80,8,REPLACE,"large heavy hook weapon"
P1,enemy,Bell Keeper,res://assets/sprites/enemy_types/bell_keeper/,96x80,8,REPLACE,"support bell silhouette"
P1,environment,Stairs,res://assets/vania11/stairs.png,current-compatible,1,REPLACE,"clear traversable steps"
P1,environment,Railing,res://assets/vania11/railing.png,current-compatible,1,REPLACE,"foreground/gameplay edge dressing"
P1,environment,Rib Gate,res://assets/vania11/rib_gate.png,current-compatible,1+,REPLACE,"bone and iron; progression obstacle"
P1,prop,Breakable candle,res://assets/vania11/breakable_candle.png,current-compatible,1+,REPLACE,"warm orange, obvious breakable"
P1,prop,Bone urn,res://assets/vania11/bone_urn.png,current-compatible,1+,REPLACE,"readable breakable"
P2,enemy,Hanged Sailor,res://assets/sprites/enemy_types/hanged_sailor/,96x80,8,REPLACE,"vertical rigging threat"
P2,enemy,Bone Crow,res://assets/sprites/enemy_types/bone_crow/,96x80,8,REPLACE,"small skeletal seabird"
P2,enemy,Coffin Mimic,res://assets/sprites/enemy_types/coffin_mimic/,96x80,8,REPLACE,"coffin disguise -> cartoon macabre ambush"
P2,pickup,Grave Ash,res://assets/vania11/grave_ash.png,current-compatible,1+,REPLACE,"small violet/mint magical collectible"
P2,pickup,Flesh,res://assets/vania11/flesh_pickup.png,current-compatible,1+,REPLACE,"health pickup; readable without gore-realism"
P2,prop,Hanging Hook,res://assets/vania11/hanging_hook.png,current-compatible,1,REPLACE,"ship hardware not UI symbol"
P3,player,Expanded player animation,res://assets/sprites/player/,96x80,TBD,FUTURE,"charged Raise; heavy shovel; Grave Field; shovel-pop anti-air"
